item_id,material,share
75d9c9181d86,polyester,0.5
75d9c9181d86,technical,0.5
5cfc493ccb06,elastane,0.8
5cfc493ccb06,other,0.2
ea75f04cc06f,nylon,0.38
ea75f04cc06f,elastane,0.12
ea75f04cc06f,polyester,0.5
724f7cef6f06,polyester,1.0
a02bdfadbaca,polyester,1.0
dc76474ce7fe,elastane,0.8
dc76474ce7fe,other,0.2
505c3f2fb524,polyester,0.633333
505c3f2fb524,elastane,0.033333
505c3f2fb524,technical,0.333333
4e22b59792c4,elastane,0.8
4e22b59792c4,other,0.2
57e6a5d45a50,polyester,0.95
57e6a5d45a50,elastane,0.05
d5f4d04d110a,polyester,1.0
2c0537633bb1,linen,1.0
42c8654b1b81,cotton,1.0
dd4bff8a20bf,linen,1.0
4b80a0bead56,cotton,1.0
2460bf32f913,viscose,1.0
ddbca22cc73f,cotton,0.6
ddbca22cc73f,polyester,0.4
357f5570a86e,polyester,1.0
0fbccf6b5943,other,1.0
b089436009c0,polyester,1.0
d4916ccc31e6,cotton,0.93
d4916ccc31e6,elastane,0.07
902a7ac3e00d,cotton,1.0
e89a2c41a7b8,polyester,0.60241
e89a2c41a7b8,nylon,0.331325
e89a2c41a7b8,elastane,0.066265
061b4329ead8,cotton,0.97
061b4329ead8,elastane,0.03
6eff0f7056df,polyester,1.0
0b0fc8543391,other,1.0
945f5b14cbb4,cotton,1.0
9c49ad4bdb65,polyester,1.0
73197b795134,cotton,0.97
73197b795134,elastane,0.03
7eeccbf7ea1c,polyester,1.0
3add5cb67079,polyester,0.5
3add5cb67079,technical,0.5
40f79fde84fa,polyester,0.8
40f79fde84fa,cotton,0.2
f1650f1eef38,other,1.0
1a8a949ef70c,elastane,0.8
1a8a949ef70c,other,0.2
d09e0a61340b,cotton,1.0
aed7a0772c2a,linen,1.0
e07f3e3c5397,cotton,1.0
4aa70b6d7f93,cotton,0.985
4aa70b6d7f93,elastane,0.015
d5fddbf2b5a4,cotton,1.0
1de48c9fe865,polyester,0.94
1de48c9fe865,viscose,0.06
d3c967d6a2f4,other,0.425
d3c967d6a2f4,polyester,0.075
d3c967d6a2f4,nylon,0.4
d3c967d6a2f4,wool,0.1
3de92e09b366,elastane,0.02
3de92e09b366,denim,0.98
48b876fce5af,polyester,0.473333
48b876fce5af,viscose,0.01
48b876fce5af,denim,0.516667
1f6e6d75df89,other,0.675
1f6e6d75df89,wool,0.15
1f6e6d75df89,polyester,0.175
089a389052b9,polyester,0.524
089a389052b9,cotton,0.072
089a389052b9,elastane,0.004
089a389052b9,technical,0.2
089a389052b9,viscose,0.2
1691a0a4558c,other,1.0
725f9d0d0807,other,0.65
725f9d0d0807,nylon,0.19
725f9d0d0807,polyester,0.13
725f9d0d0807,elastane,0.03
3ddce720bdd1,other,1.0
f620be511382,other,0.5
f620be511382,leather,0.5
2f42f3b53e69,cotton,0.6
2f42f3b53e69,polyester,0.4
ec857bb6459f,cotton,1.0
8e8645aea6cd,polyester,1.0
4249c86972d2,cotton,0.92
4249c86972d2,elastane,0.08
e73a5e4252d3,cotton,0.92
e73a5e4252d3,elastane,0.08
3decf0adba66,other,1.0
8328cc6cfebe,technical,0.55
8328cc6cfebe,cotton,0.45
06678ee34642,cotton,1.0
783b47160e71,other,1.0
a6a13de5d797,cotton,1.0
2992d6cae7c0,cotton,0.52
2992d6cae7c0,polyester,0.48
e58ba23180e3,polyester,1.0
e0377c74c9fd,cotton,0.56
e0377c74c9fd,polyester,0.23
e0377c74c9fd,other,0.19
e0377c74c9fd,elastane,0.02
c11d0dfd291c,cotton,0.952381
c11d0dfd291c,elastane,0.047619
760068aa0f1a,other,1.0
a75ad43c8e4a,leather,0.666667
a75ad43c8e4a,other,0.333333
5cd2f717e7aa,polyester,1.0
1b7974f07781,leather,0.5
1b7974f07781,other,0.5
6e03485e730b,other,0.5
6e03485e730b,leather,0.5
ea4d4e4d718c,polyester,1.0
eec630169bc7,polyester,0.666667
eec630169bc7,technical,0.333333
