strategy,date,equity
h2_nowcast_trends_monthly,2018-07-12,1.053102
h2_nowcast_trends_monthly,2018-07-13,1.066734
h2_nowcast_trends_monthly,2018-07-16,1.072178
h2_nowcast_trends_monthly,2018-07-17,1.056135
h2_nowcast_trends_monthly,2018-07-18,1.062405
h2_nowcast_trends_monthly,2018-07-19,1.055281
h2_nowcast_trends_monthly,2018-07-20,1.050301
h2_nowcast_trends_monthly,2018-07-23,1.041871
h2_nowcast_trends_monthly,2018-07-24,1.0476
h2_nowcast_trends_monthly,2018-07-25,1.041122
h2_nowcast_trends_monthly,2018-07-26,1.031606
h2_nowcast_trends_monthly,2018-07-27,1.031803
h2_nowcast_trends_monthly,2018-07-30,1.052577
h2_nowcast_trends_monthly,2018-07-31,1.041121
h2_nowcast_trends_monthly,2018-08-01,1.045618
h2_nowcast_trends_monthly,2018-08-02,1.029454
h2_nowcast_trends_monthly,2018-08-03,1.027313
h2_nowcast_trends_monthly,2018-08-06,1.037469
h2_nowcast_trends_monthly,2018-08-07,1.014874
h2_nowcast_trends_monthly,2018-08-08,0.961561
h2_nowcast_trends_monthly,2018-08-09,0.988106
h2_nowcast_trends_monthly,2018-08-10,0.986365
h2_nowcast_trends_monthly,2018-08-13,0.994667
h2_nowcast_trends_monthly,2018-08-14,1.002015
h2_nowcast_trends_monthly,2018-08-15,1.002015
h2_nowcast_trends_monthly,2018-08-16,1.009376
h2_nowcast_trends_monthly,2018-08-17,1.02316
h2_nowcast_trends_monthly,2018-08-20,1.021927
h2_nowcast_trends_monthly,2018-08-21,1.024784
h2_nowcast_trends_monthly,2018-08-22,1.027089
h2_nowcast_trends_monthly,2018-08-23,1.026902
h2_nowcast_trends_monthly,2018-08-24,1.031511
h2_nowcast_trends_monthly,2018-08-27,1.021174
h2_nowcast_trends_monthly,2018-08-28,1.027626
h2_nowcast_trends_monthly,2018-08-29,1.029112
h2_nowcast_trends_monthly,2018-08-30,1.033218
h2_nowcast_trends_monthly,2018-08-31,1.038913
h2_nowcast_trends_monthly,2018-09-03,1.030743
h2_nowcast_trends_monthly,2018-09-04,1.028108
h2_nowcast_trends_monthly,2018-09-05,1.026408
h2_nowcast_trends_monthly,2018-09-06,1.036661
h2_nowcast_trends_monthly,2018-09-07,1.034154
h2_nowcast_trends_monthly,2018-09-10,1.037971
h2_nowcast_trends_monthly,2018-09-11,1.036224
h2_nowcast_trends_monthly,2018-09-12,1.027152
