event_id,ticker,earnings_within_10d,confounder_unknown,confounded
E00568,1913.HK,False,False,False
E00569,1913.HK,True,False,True
E00570,1913.HK,False,False,False
E00571,1913.HK,False,False,False
E00572,1913.HK,False,False,False
E00573,1913.HK,False,False,False
E00574,1913.HK,False,False,False
E00575,1913.HK,True,False,True
E00576,1913.HK,False,False,False
E00577,1913.HK,False,False,False
E00578,1913.HK,False,False,False
E00579,1913.HK,False,False,False
E00580,1913.HK,False,False,False
E00581,1913.HK,False,False,False
E00582,1913.HK,False,False,False
E00583,1913.HK,False,False,False
E00584,1913.HK,False,False,False
E00585,1913.HK,False,False,False
E00586,1913.HK,False,False,False
E00587,1913.HK,False,False,False
E00588,1913.HK,False,False,False
E00589,1913.HK,False,False,False
E00590,1913.HK,False,False,False
E00598,MONC.MI,False,False,False
E00599,MONC.MI,False,False,False
E00600,MONC.MI,False,False,False
E00601,MONC.MI,False,False,False
E00602,MONC.MI,False,False,False
E00603,MONC.MI,False,False,False
E00604,MONC.MI,True,False,True
E00605,MONC.MI,False,False,False
E00606,MONC.MI,True,False,True
E00607,MONC.MI,False,False,False
E00608,BOSS.DE,False,False,False
E00609,BOSS.DE,False,False,False
E00610,BOSS.DE,False,False,False
E00611,BOSS.DE,False,False,False
E00612,BOSS.DE,False,False,False
E00613,BOSS.DE,False,False,False
E00614,BOSS.DE,False,False,False
E00615,BOSS.DE,False,False,False
E00616,BOSS.DE,False,False,False
E00618,BOSS.DE,False,False,False
E00619,BOSS.DE,False,False,False
E00620,BOSS.DE,False,False,False
E00621,BOSS.DE,False,False,False
E00622,BOSS.DE,True,False,True
E00623,BOSS.DE,False,False,False
E00624,BOSS.DE,True,False,True
E00625,BOSS.DE,False,False,False
E00626,BOSS.DE,False,False,False
E00627,BOSS.DE,False,False,False
E00628,BOSS.DE,False,False,False
E00629,BOSS.DE,False,False,False
E00632,RL,False,False,False
E00633,RL,False,False,False
E00634,RL,False,False,False
E00635,RL,False,False,False
E00636,RL,False,False,False
E00637,RL,False,False,False
E00638,RL,False,False,False
E00639,RL,False,False,False
E00640,RL,False,False,False
E00641,RL,False,False,False
E00642,RL,False,False,False
E00643,RL,False,False,False
E00644,RL,False,False,False
E00645,RL,False,False,False
E00646,RL,False,False,False
E00647,RL,False,False,False
E00648,RL,False,False,False
E00649,RL,False,False,False
E00650,RL,False,False,False
E00651,RL,False,False,False
E00652,RL,False,False,False
E00653,RL,False,False,False
E00654,RL,False,False,False
E00655,RL,False,False,False
E00656,RL,False,False,False
E00657,RL,False,False,False
E00658,RL,False,False,False
E00659,RL,False,False,False
E00660,RL,False,False,False
E00661,RL,False,False,False
E00662,RL,False,False,False
E00663,RL,False,False,False
E00664,RL,False,False,False
E00665,RL,False,False,False
E00666,RL,False,False,False
E00667,RL,False,False,False
E00668,RL,False,False,False
E00669,RL,False,False,False
E00670,RL,False,False,False
E00671,RL,False,False,False
E00672,RL,False,False,False
E00673,RL,False,False,False
E00674,RL,False,False,False
E00675,RL,False,False,False
E00676,RL,False,False,False
E00677,RL,False,False,False
E00678,RL,False,False,False
E00679,RL,False,False,False
E00680,RL,False,False,False
E00693,SFER.MI,False,False,False
E00694,SFER.MI,False,False,False
E00695,SFER.MI,False,False,False
E00696,SFER.MI,False,False,False
E00697,SFER.MI,False,False,False
E00698,SFER.MI,False,False,False
E00699,SFER.MI,False,False,False
E00700,SFER.MI,False,False,False
E00701,SFER.MI,False,False,False
E00702,SFER.MI,False,False,False
E00703,SFER.MI,False,False,False
E00704,SFER.MI,False,False,False
E00705,SFER.MI,False,False,False
E00706,SFER.MI,False,False,False
E00707,SFER.MI,False,False,False
E00708,SFER.MI,False,False,False
E00709,SFER.MI,False,False,False
E00710,SFER.MI,False,False,False
E00711,SFER.MI,True,False,True
E00712,SFER.MI,False,False,False
E00713,SFER.MI,False,False,False
E00714,SFER.MI,False,False,False
E00715,SFER.MI,False,False,False
E00716,SFER.MI,False,False,False
E00717,SFER.MI,False,False,False
E00718,SFER.MI,False,False,False
E00719,SFER.MI,False,False,False
E00720,SFER.MI,False,False,False
E00744,PVH,False,False,False
E00745,1913.HK,False,False,False
E00746,1913.HK,False,False,False
E00747,1913.HK,False,False,False
E00748,1913.HK,False,False,False
E00749,1913.HK,True,False,True
E00750,BC.MI,False,False,False
E00751,BC.MI,False,False,False
E00752,BC.MI,False,False,False
E00753,BC.MI,False,False,False
E00754,BC.MI,False,False,False
E00755,BC.MI,False,False,False
E00756,BC.MI,False,False,False
E00757,BC.MI,False,False,False
E00758,BC.MI,False,False,False
E00759,BC.MI,False,False,False
E00760,BC.MI,False,False,False
E00761,BC.MI,False,False,False
E00762,BC.MI,False,False,False
E00763,BC.MI,False,False,False
E00764,BC.MI,False,False,False
E00765,BC.MI,False,False,False
E00766,BC.MI,False,False,False
E00767,BC.MI,False,False,False
E00768,BC.MI,False,False,False
E00769,BC.MI,False,False,False
E00770,BC.MI,False,False,False
E00771,BC.MI,False,False,False
