look_id,reason,logged
valentino|FW2017|007,image download failed,2026-07-03
versace|FW2017|007,image download failed,2026-07-03
balenciaga|FW2018|007,image download failed,2026-07-03
bottega-veneta|FW2018|007,image download failed,2026-07-03
burberry|FW2018|007,image download failed,2026-07-03
celine|FW2018|007,image download failed,2026-07-03
chloe|FW2018|007,image download failed,2026-07-03
christian-dior|FW2018|007,image download failed,2026-07-03
fendi|FW2018|007,image download failed,2026-07-03
gucci|FW2018|007,image download failed,2026-07-03
hermes|FW2018|007,image download failed,2026-07-03
loewe|FW2018|007,image download failed,2026-07-03
louis-vuitton|FW2018|007,image download failed,2026-07-03
miu-miu|FW2018|007,image download failed,2026-07-03
prada|FW2018|007,image download failed,2026-07-03
ralph-lauren|FW2018|007,image download failed,2026-07-03
saint-laurent|FW2018|007,image download failed,2026-07-03
salvatore-ferragamo|FW2018|007,image download failed,2026-07-03
tods|FW2018|007,image download failed,2026-07-03
valentino|FW2018|007,image download failed,2026-07-03
versace|FW2018|007,image download failed,2026-07-03
balenciaga|FW2019|007,image download failed,2026-07-03
bottega-veneta|FW2019|007,image download failed,2026-07-03
brunello-cucinelli|FW2019|007,image download failed,2026-07-03
burberry|FW2019|007,image download failed,2026-07-03
celine|FW2019|007,image download failed,2026-07-03
chloe|FW2019|007,image download failed,2026-07-03
christian-dior|FW2019|007,image download failed,2026-07-03
fendi|FW2019|007,image download failed,2026-07-03
gucci|FW2019|007,image download failed,2026-07-03
hermes|FW2019|007,image download failed,2026-07-03
loewe|FW2019|007,image download failed,2026-07-03
louis-vuitton|FW2019|007,image download failed,2026-07-03
miu-miu|FW2019|007,image download failed,2026-07-03
prada|FW2019|007,image download failed,2026-07-03
saint-laurent|FW2019|007,image download failed,2026-07-03
salvatore-ferragamo|FW2019|007,image download failed,2026-07-03
tods|FW2019|007,image download failed,2026-07-03
valentino|FW2019|007,image download failed,2026-07-03
versace|FW2019|007,image download failed,2026-07-03
balenciaga|FW2020|007,image download failed,2026-07-03
bottega-veneta|FW2020|007,image download failed,2026-07-03
brunello-cucinelli|FW2020|007,image download failed,2026-07-03
burberry|FW2020|007,image download failed,2026-07-03
celine|FW2020|007,image download failed,2026-07-03
chloe|FW2020|007,image download failed,2026-07-03
christian-dior|FW2020|007,image download failed,2026-07-03
fendi|FW2020|007,image download failed,2026-07-03
gucci|FW2020|007,image download failed,2026-07-03
hermes|FW2020|007,image download failed,2026-07-03
loewe|FW2020|007,image download failed,2026-07-03
louis-vuitton|FW2020|007,image download failed,2026-07-03
miu-miu|FW2020|007,image download failed,2026-07-03
prada|FW2020|007,image download failed,2026-07-03
ralph-lauren|FW2020|007,image download failed,2026-07-03
saint-laurent|FW2020|007,image download failed,2026-07-03
salvatore-ferragamo|FW2020|007,image download failed,2026-07-03
tods|FW2020|007,image download failed,2026-07-03
valentino|FW2020|007,image download failed,2026-07-03
versace|FW2020|007,image download failed,2026-07-03
balenciaga|FW2021|007,image download failed,2026-07-03
bottega-veneta|FW2021|007,image download failed,2026-07-03
brunello-cucinelli|FW2021|007,image download failed,2026-07-03
burberry|FW2021|007,image download failed,2026-07-03
celine|FW2021|007,image download failed,2026-07-03
chloe|FW2021|007,image download failed,2026-07-03
christian-dior|FW2021|007,image download failed,2026-07-03
fendi|FW2021|007,image download failed,2026-07-03
gucci|FW2021|007,image download failed,2026-07-03
hermes|FW2021|007,image download failed,2026-07-03
loewe|FW2021|007,image download failed,2026-07-03
louis-vuitton|FW2021|007,image download failed,2026-07-03
miu-miu|FW2021|007,image download failed,2026-07-03
ralph-lauren|FW2021|007,image download failed,2026-07-03
saint-laurent|FW2021|007,image download failed,2026-07-03
salvatore-ferragamo|FW2021|007,image download failed,2026-07-03
tods|FW2021|007,image download failed,2026-07-03
versace|FW2021|007,image download failed,2026-07-03
balenciaga|FW2022|007,image download failed,2026-07-03
bottega-veneta|FW2022|007,image download failed,2026-07-03
burberry|FW2022|007,image download failed,2026-07-03
chloe|FW2022|007,image download failed,2026-07-03
christian-dior|FW2022|007,image download failed,2026-07-03
fendi|FW2022|007,image download failed,2026-07-03
gucci|FW2022|007,image download failed,2026-07-03
hermes|FW2022|007,image download failed,2026-07-03
louis-vuitton|FW2022|007,image download failed,2026-07-03
miu-miu|FW2022|007,image download failed,2026-07-03
prada|FW2022|007,image download failed,2026-07-03
saint-laurent|FW2022|007,image download failed,2026-07-03
tods|FW2022|007,image download failed,2026-07-03
valentino|FW2022|007,image download failed,2026-07-03
versace|FW2022|007,image download failed,2026-07-03
balenciaga|FW2023|007,image download failed,2026-07-03
bottega-veneta|FW2023|007,image download failed,2026-07-03
brunello-cucinelli|FW2023|007,image download failed,2026-07-03
burberry|FW2023|007,image download failed,2026-07-03
chloe|FW2023|007,image download failed,2026-07-03
christian-dior|FW2023|007,image download failed,2026-07-03
fendi|FW2023|007,image download failed,2026-07-03
gucci|FW2023|007,image download failed,2026-07-03
hermes|FW2023|007,image download failed,2026-07-03
loewe|FW2023|007,image download failed,2026-07-03
louis-vuitton|FW2023|007,image download failed,2026-07-03
miu-miu|FW2023|007,image download failed,2026-07-03
moncler|FW2023|007,image download failed,2026-07-03
prada|FW2023|007,image download failed,2026-07-03
saint-laurent|FW2023|007,image download failed,2026-07-03
salvatore-ferragamo|FW2023|007,image download failed,2026-07-03
tods|FW2023|007,image download failed,2026-07-03
valentino|FW2023|007,image download failed,2026-07-03
versace|FW2023|007,image download failed,2026-07-03
balenciaga|FW2024|007,image download failed,2026-07-03
bottega-veneta|FW2024|007,image download failed,2026-07-03
brunello-cucinelli|FW2024|007,image download failed,2026-07-03
chloe|FW2024|007,image download failed,2026-07-03
christian-dior|FW2024|007,image download failed,2026-07-03
fendi|FW2024|007,image download failed,2026-07-03
gucci|FW2024|007,image download failed,2026-07-03
hermes|FW2024|007,image download failed,2026-07-03
loewe|FW2024|007,image download failed,2026-07-03
louis-vuitton|FW2024|007,image download failed,2026-07-03
miu-miu|FW2024|007,image download failed,2026-07-03
moncler|FW2024|007,image download failed,2026-07-03
prada|FW2024|007,image download failed,2026-07-03
saint-laurent|FW2024|007,image download failed,2026-07-03
salvatore-ferragamo|FW2024|007,image download failed,2026-07-03
tods|FW2024|007,image download failed,2026-07-03
