event_id,city,season,year,parent_ticker,ticker,brands_showing,n_brands_showing,fw_start_date,show_date,fw_end_date,local_index
E00388,milan,SS,2013,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2013-09-26,2013-09-26,2013-10-01,FTSEMIB.MI
E00389,milan,SS,2013,MC.PA,MC.PA,Fendi,1,2013-09-26,2013-09-26,2013-10-01,FTSEMIB.MI
E00390,paris,SS,2013,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2013-10-02,2013-10-02,2013-10-07,^FCHI
E00391,paris,SS,2013,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2013-10-02,2013-10-02,2013-10-07,^FCHI
E00392,paris,SS,2013,RMS.PA,RMS.PA,Hermès,1,2013-10-02,2013-10-02,2013-10-07,^FCHI
E00393,new_york,FW,2014,CPRI,CPRI,Michael Kors,1,2014-02-07,2014-02-07,2014-02-13,^GSPC
E00394,new_york,FW,2014,TPR,TPR,Coach,1,2014-02-07,2014-02-07,2014-02-13,^GSPC
E00395,new_york,FW,2014,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2014-02-07,2014-02-07,2014-02-13,^GSPC
E00396,new_york,FW,2014,RL,RL,Ralph Lauren,1,2014-02-07,2014-02-07,2014-02-13,^GSPC
E00397,london,FW,2014,BRBY.L,BRBY.L,Burberry,1,2014-02-14,2014-02-14,2014-02-19,^FTSE
E00398,milan,FW,2014,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2014-02-20,2014-02-20,2014-02-25,FTSEMIB.MI
E00399,milan,FW,2014,1913.HK,1913.HK,Prada; Miu Miu,2,2014-02-20,2014-02-20,2014-02-25,FTSEMIB.MI
E00400,milan,FW,2014,BC.MI,BC.MI,Brunello Cucinelli,1,2014-02-20,2014-02-20,2014-02-25,FTSEMIB.MI
E00401,milan,FW,2014,MONC.MI,MONC.MI,Moncler,1,2014-02-20,2014-02-20,2014-02-25,FTSEMIB.MI
E00402,milan,FW,2014,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2014-02-20,2014-02-20,2014-02-25,FTSEMIB.MI
E00403,milan,FW,2014,MC.PA,MC.PA,Fendi,1,2014-02-20,2014-02-20,2014-02-25,FTSEMIB.MI
E00404,paris,FW,2014,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2014-02-26,2014-02-26,2014-03-03,^FCHI
E00405,paris,FW,2014,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2014-02-26,2014-02-26,2014-03-03,^FCHI
E00406,paris,FW,2014,RMS.PA,RMS.PA,Hermès,1,2014-02-26,2014-02-26,2014-03-03,^FCHI
E00407,new_york,SS,2014,CPRI,CPRI,Michael Kors,1,2014-09-12,2014-09-12,2014-09-18,^GSPC
E00408,new_york,SS,2014,TPR,TPR,Coach,1,2014-09-12,2014-09-12,2014-09-18,^GSPC
E00409,new_york,SS,2014,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2014-09-12,2014-09-12,2014-09-18,^GSPC
E00410,new_york,SS,2014,RL,RL,Ralph Lauren,1,2014-09-12,2014-09-12,2014-09-18,^GSPC
E00411,london,SS,2014,BRBY.L,BRBY.L,Burberry,1,2014-09-19,2014-09-19,2014-09-24,^FTSE
E00412,milan,SS,2014,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2014-09-25,2014-09-25,2014-09-30,FTSEMIB.MI
E00413,milan,SS,2014,1913.HK,1913.HK,Prada; Miu Miu,2,2014-09-25,2014-09-25,2014-09-30,FTSEMIB.MI
E00414,milan,SS,2014,BC.MI,BC.MI,Brunello Cucinelli,1,2014-09-25,2014-09-25,2014-09-30,FTSEMIB.MI
E00415,milan,SS,2014,MONC.MI,MONC.MI,Moncler,1,2014-09-25,2014-09-25,2014-09-30,FTSEMIB.MI
E00416,milan,SS,2014,SFER.MI,SFER.MI,Salvatore Ferragamo,1,2014-09-25,2014-09-25,2014-09-30,FTSEMIB.MI
E00417,milan,SS,2014,MC.PA,MC.PA,Fendi,1,2014-09-25,2014-09-25,2014-09-30,FTSEMIB.MI
E00418,paris,SS,2014,MC.PA,MC.PA,Louis Vuitton; Dior; Loewe; Celine; Givenchy; Fendi,6,2014-10-01,2014-10-01,2014-10-06,^FCHI
E00419,paris,SS,2014,KER.PA,KER.PA,Saint Laurent; Balenciaga; Alexander McQueen,3,2014-10-01,2014-10-01,2014-10-06,^FCHI
E00420,paris,SS,2014,RMS.PA,RMS.PA,Hermès,1,2014-10-01,2014-10-01,2014-10-06,^FCHI
E00421,new_york,FW,2015,CPRI,CPRI,Michael Kors,1,2015-02-13,2015-02-13,2015-02-19,^GSPC
E00422,new_york,FW,2015,TPR,TPR,Coach,1,2015-02-13,2015-02-13,2015-02-19,^GSPC
E00423,new_york,FW,2015,PVH,PVH,Calvin Klein; Tommy Hilfiger,2,2015-02-13,2015-02-13,2015-02-19,^GSPC
E00424,new_york,FW,2015,RL,RL,Ralph Lauren,1,2015-02-13,2015-02-13,2015-02-19,^GSPC
E00425,london,FW,2015,BRBY.L,BRBY.L,Burberry,1,2015-02-20,2015-02-20,2015-02-25,^FTSE
E00426,milan,FW,2015,KER.PA,KER.PA,Gucci; Bottega Veneta,2,2015-02-26,2015-02-26,2015-03-03,FTSEMIB.MI
E00427,milan,FW,2015,1913.HK,1913.HK,Prada; Miu Miu,2,2015-02-26,2015-02-26,2015-03-03,FTSEMIB.MI
