date,material,nowcast_z,direction,tickers
2019-06-01,nylon,,flat,3402.T;CL=F
2019-06-01,polyester,1.3711,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-06-01,technical,,flat,3402.T
2019-06-01,viscose,0.9574,flat,LNZ.VI
2019-07-01,cotton,1.2305,long,CT=F
2019-07-01,denim,0.3053,flat,CT=F
2019-07-01,leather,-0.8746,flat,LE=F
2019-07-01,nylon,,flat,3402.T;CL=F
2019-07-01,polyester,1.1611,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-07-01,technical,,flat,3402.T
2019-07-01,viscose,2.8723,long,LNZ.VI
2019-08-01,cotton,1.2305,long,CT=F
2019-08-01,denim,-0.4677,flat,CT=F
2019-08-01,leather,-1.2978,short,LE=F
2019-08-01,nylon,,flat,3402.T;CL=F
2019-08-01,polyester,1.0235,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-08-01,technical,,flat,3402.T
2019-08-01,viscose,2.119,long,LNZ.VI
2019-09-01,cotton,0.5273,flat,CT=F
2019-09-01,denim,-0.9485,flat,CT=F
2019-09-01,leather,-0.9629,flat,LE=F
2019-09-01,nylon,,flat,3402.T;CL=F
2019-09-01,polyester,0.9574,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-09-01,technical,,flat,3402.T
2019-09-01,viscose,0.4282,flat,LNZ.VI
2019-10-01,cotton,0.5273,flat,CT=F
2019-10-01,denim,2.0207,long,CT=F
2019-10-01,leather,0.0551,flat,LE=F
2019-10-01,nylon,,flat,3402.T;CL=F
2019-10-01,polyester,2.7512,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-10-01,technical,,flat,3402.T
2019-10-01,viscose,0.3317,flat,LNZ.VI
2019-11-01,cotton,-0.3022,flat,CT=F
2019-11-01,denim,1.1547,long,CT=F
2019-11-01,leather,0.8815,flat,LE=F
2019-11-01,nylon,,flat,3402.T;CL=F
2019-11-01,polyester,2.011,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-11-01,technical,,flat,3402.T
2019-11-01,viscose,0.2322,flat,LNZ.VI
2019-12-01,cotton,-1.1413,short,CT=F
2019-12-01,denim,2.6414,long,CT=F
2019-12-01,leather,1.5426,long,LE=F
2019-12-01,nylon,,flat,3402.T;CL=F
2019-12-01,polyester,1.6204,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2019-12-01,technical,,flat,3402.T
2019-12-01,viscose,0.1246,flat,LNZ.VI
2020-01-01,cotton,-0.3804,flat,CT=F
2020-01-01,denim,2.6956,long,CT=F
2020-01-01,leather,1.8732,long,LE=F
2020-01-01,nylon,,flat,3402.T;CL=F
2020-01-01,polyester,-0.1246,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-01-01,technical,,flat,3402.T
2020-01-01,viscose,-1.6583,short,LNZ.VI
2020-02-01,cotton,-1.2768,short,CT=F
2020-02-01,denim,0.4192,flat,CT=F
2020-02-01,leather,0.3623,flat,LE=F
2020-02-01,nylon,,flat,3402.T;CL=F
2020-02-01,polyester,1.4434,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-02-01,technical,,flat,3402.T
2020-02-01,viscose,0.0,flat,LNZ.VI
2020-03-01,cotton,-0.4704,flat,CT=F
2020-03-01,denim,0.0236,flat,CT=F
2020-03-01,leather,-0.4322,flat,LE=F
2020-03-01,nylon,,flat,3402.T;CL=F
2020-03-01,polyester,1.354,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2020-03-01,technical,,flat,3402.T
2020-03-01,viscose,0.0,flat,LNZ.VI
2020-04-01,cotton,-2.3094,short,CT=F
