date,material,nowcast_z,direction,tickers
2022-10-01,polyester,-0.6765,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-10-01,technical,-0.3737,flat,3402.T
2022-10-01,viscose,-0.1824,flat,LNZ.VI
2022-11-01,cotton,0.5108,flat,CT=F
2022-11-01,denim,-0.5391,flat,CT=F
2022-11-01,leather,-0.4091,flat,LE=F
2022-11-01,nylon,-0.9625,flat,3402.T;CL=F
2022-11-01,polyester,0.58,flat,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-11-01,technical,2.1874,long,3402.T
2022-11-01,viscose,2.0488,long,LNZ.VI
2022-12-01,cotton,-1.3759,short,CT=F
2022-12-01,denim,-0.6803,flat,CT=F
2022-12-01,leather,1.4493,long,LE=F
2022-12-01,nylon,0.5813,flat,3402.T;CL=F
2022-12-01,polyester,2.9775,long,IVL.BK;3402.T;RELIANCE.NS;CL=F
2022-12-01,technical,3.6727,long,3402.T
