retailer,month,material,share,n_items,known_date,thin_sample
asos,2020-10,denim,0.231143,35,2020-10-31,False
asos,2020-10,elastane,0.017075,35,2020-10-31,False
asos,2020-10,leather,0.0,35,2020-10-31,False
asos,2020-10,linen,0.0,35,2020-10-31,False
asos,2020-10,nylon,0.062,35,2020-10-31,False
asos,2020-10,other,0.148,35,2020-10-31,False
asos,2020-10,polyester,0.264354,35,2020-10-31,False
asos,2020-10,silk,0.0,35,2020-10-31,False
asos,2020-10,technical,0.0,35,2020-10-31,False
asos,2020-10,viscose,0.157286,35,2020-10-31,False
asos,2020-10,wool,0.0,35,2020-10-31,False
asos,2020-11,cashmere,0.0,33,2020-11-30,False
asos,2020-11,cotton,0.192333,33,2020-11-30,False
asos,2020-11,denim,0.0,33,2020-11-30,False
asos,2020-11,elastane,0.020641,33,2020-11-30,False
asos,2020-11,leather,0.166667,33,2020-11-30,False
asos,2020-11,linen,0.0,33,2020-11-30,False
asos,2020-11,nylon,0.175814,33,2020-11-30,False
asos,2020-11,other,0.19697,33,2020-11-30,False
asos,2020-11,polyester,0.247576,33,2020-11-30,False
asos,2020-11,silk,0.0,33,2020-11-30,False
asos,2020-11,technical,0.0,33,2020-11-30,False
asos,2020-11,viscose,0.0,33,2020-11-30,False
asos,2020-11,wool,0.0,33,2020-11-30,False
asos,2020-12,cashmere,0.0,36,2020-12-31,False
asos,2020-12,cotton,0.226859,36,2020-12-31,False
asos,2020-12,denim,0.075,36,2020-12-31,False
asos,2020-12,elastane,0.016871,36,2020-12-31,False
asos,2020-12,leather,0.0,36,2020-12-31,False
asos,2020-12,linen,0.0,36,2020-12-31,False
asos,2020-12,nylon,0.022917,36,2020-12-31,False
asos,2020-12,other,0.055,36,2020-12-31,False
asos,2020-12,polyester,0.507239,36,2020-12-31,False
asos,2020-12,silk,0.0,36,2020-12-31,False
asos,2020-12,technical,0.023148,36,2020-12-31,False
asos,2020-12,viscose,0.072966,36,2020-12-31,False
asos,2020-12,wool,0.0,36,2020-12-31,False
asos,2021-01,cashmere,0.0,17,2021-01-31,True
asos,2021-01,cotton,0.371905,17,2021-01-31,True
asos,2021-01,denim,0.0,17,2021-01-31,True
asos,2021-01,elastane,0.013389,17,2021-01-31,True
asos,2021-01,leather,0.098039,17,2021-01-31,True
asos,2021-01,linen,0.0,17,2021-01-31,True
asos,2021-01,nylon,0.0,17,2021-01-31,True
asos,2021-01,other,0.266078,17,2021-01-31,True
asos,2021-01,polyester,0.218235,17,2021-01-31,True
asos,2021-01,silk,0.0,17,2021-01-31,True
asos,2021-01,technical,0.032353,17,2021-01-31,True
asos,2021-01,viscose,0.0,17,2021-01-31,True
asos,2021-01,wool,0.0,17,2021-01-31,True
asos,2021-02,cashmere,0.0,35,2021-02-28,False
asos,2021-02,cotton,0.233339,35,2021-02-28,False
asos,2021-02,denim,0.028571,35,2021-02-28,False
asos,2021-02,elastane,0.025366,35,2021-02-28,False
asos,2021-02,leather,0.028571,35,2021-02-28,False
asos,2021-02,linen,0.0,35,2021-02-28,False
asos,2021-02,nylon,0.103648,35,2021-02-28,False
asos,2021-02,other,0.035616,35,2021-02-28,False
asos,2021-02,polyester,0.427999,35,2021-02-28,False
asos,2021-02,silk,0.0,35,2021-02-28,False
asos,2021-02,technical,0.028571,35,2021-02-28,False
asos,2021-02,viscose,0.087339,35,2021-02-28,False
asos,2021-02,wool,0.000978,35,2021-02-28,False
asos,2021-03,cashmere,0.0,38,2021-03-31,False
asos,2021-03,cotton,0.218421,38,2021-03-31,False
asos,2021-03,denim,0.026053,38,2021-03-31,False
asos,2021-03,elastane,0.020533,38,2021-03-31,False
asos,2021-03,leather,0.035088,38,2021-03-31,False
asos,2021-03,linen,0.006053,38,2021-03-31,False
asos,2021-03,nylon,0.075132,38,2021-03-31,False
asos,2021-03,other,0.096754,38,2021-03-31,False
asos,2021-03,polyester,0.42802,38,2021-03-31,False
asos,2021-03,silk,0.0,38,2021-03-31,False
